APPENDIX	B:	GLOBAL	POSITIONING	SYSTEM	DATA	
blk301	12	4725531	1808259	1071.499	0.0057	
blk302	13	4725531	1808259	1071.496	0.0063	
blk303	14	4725531	1808259	1071.498	0.0067	
blk304	15	4725531	1808259	1071.503	0.0071	
blk305	16	4725531	1808259	1071.497	0.0073	
blk306	17	4725531	1808259	1071.499	0.0073	
blk307	18	4725531	1808259	1071.499	0.0076	
blk308	19	4725531	1808259	1071.499	0.0081	
blk309	20	4725531	1808259	1071.494	0.0083	
blk310	21	4725531	1808259	1071.496	0.0087	
blk311	22	4725531	1808259	1071.496	0.009	
blk312	23	4725531	1808259	1071.499	0.0092	
blk313	24	4725531	1808259	1071.496	0.0094	
blk314	25	4725531	1808259	1071.497	0.0096	
blk315	26	4725531	1808259	1071.501	0.0097	
blk316	27	4725533	1808258	1071.175	0.0096	
blk317	28	4725533	1808258	1071.167	0.0097	
blk318	29	4725533	1808258	1071.163	0.0099	
blk319	30	4725533	1808258	1071.163	0.01	
blk320	31	4725533	1808258	1071.16		0.0102	
blk321	32	4725533	1808258	1071.162	0.0103	
blk322	33	4725533	1808258	1071.159	0.0107	
blk323	34	4725533	1808258	1071.161	0.011	
blk324	35	4725533	1808258	1071.163	0.0112	
blk325	36	4725533	1808258	1071.166	0.0114	
blk326	37	4725533	1808258	1071.166	0.0118	
blk327	38	4725533	1808258	1071.167	0.0127	
blk328	39	4725533	1808258	1071.162	0.0132	
blk329	40	4725533	1808258	1071.161	0.0137	
blk330	41	4725533	1808258	1071.157	0.0141	
blk331	42	4725533	1808258	1071.161	0.0146	
blk422	65	4725534	180826	1072.22		0.015	
blk423	66	4725534	180826	1072.224	0.0153	
blk424	67	4725534	180826	1072.229	0.0155	
blk425	68	4725534	180826	1072.225	0.0159	
blk426	69	4725534	180826	1072.225	0.0164	
blk427	70	4725534	180826	1072.221	0.017	
blk428	71	4725534	180826	1072.221	0.0176	
blk429	72	4725534	180826	1072.221	0.018	
blk430	73	4725534	180826	1072.223	0.0185	
blk501	74	4725531	1808254	1076.343	0.019	
blk502	75	4725531	1808254	1076.346	0.0193	
blk503	76	4725531	1808254	1076.349	0.0194	
blk504	77	4725531	1808254	1076.351	0.0196	
blk505	78	4725531	1808254	1076.348	0.02	
blk506	79	4725531	1808254	1076.351	0.0201	
blk507	80	4725531	1808254	1076.348	0.0203	
blk516	89	4725529	1808238	1073.621	0.0202	
blk517	90	4725529	1808238	1073.625	0.0204	
blk518	91	4725529	1808238	1073.618	0.0203	
blk519	92	4725529	1808238	1073.617	0.0203	
blk520	93	4725529	1808238	1073.623	0.0197	
blk521	94	4725529	1808238	1073.621	0.0194	
blk522	95	4725529	1808238	1073.621	0.0194	
blk523	96	4725529	1808238	1073.62		0.0195	
blk524	97	4725529	1808238	1073.625	0.0195	
blk525	98	4725529	1808238	1073.622	0.0196	
blk526	99	4725529	1808238	1073.626	0.0194	
blk527	100	4725529	1808238	1073.618	0.0189	
blk528	101	4725529	1808238	1073.625	0.019	
blk529	102	4725529	1808238	1073.624	0.0189	
blk530	103	4725529	1808238	1073.63		0.0189	
blk531	104	4725529	1808238	1073.629	0.0192	
blk601	105	4725531	1808268	1077.679	0.019	
blk602	106	4725531	1808268	1077.676	0.019	
blk603	107	4725531	1808268	1077.678	0.0192	
blk604	108	4725531	1808268	1077.677	0.0196	
blk605	109	4725531	1808268	1077.682	0.0197	
blk606	110	4725531	1808268	1077.687	0.0202	
blk613	117	4725531	1808268	1077.678	0.0203	
blk614	118	4725531	1808268	1077.676	0.0207	
blk615	119	4725531	1808268	1077.672	0.0211	
blk616	120	4725533	1808268	1077.603	0.0218	
blk617	121	4725533	1808268	1077.611	0.0224	
blk618	122	4725533	1808268	1077.607	0.0228	
blk619	123	4725533	1808268	1077.6		0.0232	
blk620	124	4725533	1808268	1077.603	0.0236	
blk621	125	4725533	1808268	1077.605	0.0259	
blk622	126	4725533	1808268	1077.599	0.0288	
blk623	127	4725533	1808268	1077.602	0.0318	
blk624	128	4725533	1808268	1077.599	0.0348	
blk625	129	4725533	1808268	1077.602	0.0376	
blk626	130	4725533	1808268	1077.599	0.0404	
blk627	131	4725533	1808268	1077.601	0.0433	
blk628	132	4725533	1808268	1077.6		0.0464	
blk629	133	4725533	1808268	1077.599	0.0493	
blk630	134	4725533	1808268	1077.601	0.0522	
bk102403	250	4725531	1808261	1064.119	0.0552	
bk102503	251	4725531	1808261	1064.11		0.0585
bk102603	252	4725531	1808261	1064.114	0.0616	
bk102703	253	4725531	1808261	1064.104	0.0649	
bk102803	254	4725531	1808261	1064.109	0.0679	
bk102903	255	4725531	1808261	1064.103	0.0709	
bk103003	256	4725531	1808261	1064.102	0.0743	
bk103103	257	4725531	1808261	1064.105	0.0777	
bk110103	258	4725534	1808252	1069.42		0.0814	
bk110203	259	4725534	1808252	1069.416	0.0852	
bk110303	260	4725534	1808252	1069.415	0.0894	
bk110403	261	4725534	1808252	1069.412	0.0911	
bk110503	262	4725534	1808252	1069.41		0.0925	
bk110603	263	4725534	1808252	1069.408	0.0942	
bk110703	264	4725534	1808252	1069.414	0.0956	
bk110803	265	4725534	1808252	1069.417	0.0973	
bk110903	266	4725534	1808252	1069.404	0.0988	
bk111003	267	4725534	1808252	1069.405	0.1003	
bk111103	268	4725534	1808252	1069.398	0.1019	
bk111203	269	4725534	1808252	1069.395	0.1038	
bk111303	270	4725534	1808252	1069.386	0.1055	
bk111403	271	4725534	1808252	1069.399	0.1075	
bk111503	272	4725534	1808252	1069.398	0.1092	
bk111603	273	4725534	1808252	1069.397	0.1107	
bk111703	274	4725534	1808252	1069.39		0.1122	
bk111803	275	4725534	1808252	1069.39		0.1139	
bk111903	276	4725534	1808252	1069.387	0.1159	
bk112003	277	4725534	1808252	1069.388	0.1174	
bk112103	278	4725534	1808252	1069.387	0.1184	
bk112203	279	4725534	1808252	1069.383	0.1191	
bk112303	280	4725534	1808252	1069.381	0.1197	
bk112403	281	4725534	1808252	1069.375	0.12	
bk112503	282	4725534	1808252	1069.376	0.1209	
bk112603	283	4725534	1808252	1069.382	0.1219	
bk112703	284	4725534	1808252	1069.38		0.1229	
bk112803	285	4725534	1808252	1069.381	0.1236	
bk112903	286	4725534	1808252	1069.377	0.1244	
bk113003	287	4725534	1808252	1069.374	0.1251	
